Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,393
design__inferred_latch__count,0
design__instance__count,69942
design__instance__area,1.1639E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,19
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,162
design__max_cap_violation__count__corner:nom_tt_025C_5v00,5
power__internal__total,0.02931865304708481
power__switching__total,0.010961445048451424
power__leakage__total,0.000007797884791216347
power__total,0.040287893265485764
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.3608038137050153
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.3660400697264488
timing__hold__ws__corner:nom_tt_025C_5v00,0.7074419028601455
timing__setup__ws__corner:nom_tt_025C_5v00,48.473773922392525
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.707442
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,48.473774
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,1757
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,162
design__max_cap_violation__count__corner:nom_ss_125C_4v50,6
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.42718627067082676
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.4369191521137703
timing__hold__ws__corner:nom_ss_125C_4v50,1.5239721027591375
timing__setup__ws__corner:nom_ss_125C_4v50,-3.3797605670752917
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,-59.388911469592266
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,-3.3797605670752917
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.523972
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,27
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,-3.379761
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,27
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,162
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,5
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.3311994938715132
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.3391270416030555
timing__hold__ws__corner:nom_ff_n40C_5v50,0.3446537597315214
timing__setup__ws__corner:nom_ff_n40C_5v50,59.25211777823494
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.344654
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,71.396019
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,3118
design__max_fanout_violation__count,162
design__max_cap_violation__count,10
clock__skew__worst_hold,-0.31813427792591237
clock__skew__worst_setup,0.3248695571175901
timing__hold__ws,0.3252680439279736
timing__setup__ws,-6.614378565411956
timing__hold__tns,0.0
timing__setup__tns,-234.50929328862392
timing__hold__wns,0
timing__setup__wns,-6.614378565411956
timing__hold_vio__count,0
timing__hold_r2r__ws,0.342007
timing__hold_r2r_vio__count,0
timing__setup_vio__count,131
timing__setup_r2r__ws,-6.614378
timing__setup_r2r_vio__count,131
design__die__bbox,0.0 0.0 1100.0 1100.0
design__core__bbox,10.08 11.76 1089.76 1089.76
design__io,24
design__die__area,1.21E+6
design__core__area,1.1639E+6
design__instance__count__stdcell,33195
design__instance__area__stdcell,742254
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.637733
design__instance__utilization__stdcell,0.637733
design__rows,275
design__rows:GF018hv5v_mcu_sc7,275
design__sites,530200
design__sites:GF018hv5v_mcu_sc7,530200
design__instance__count__class:tie_cell,4
design__instance__area__class:tie_cell,35.1232
design__instance__count__class:inverter,918
design__instance__area__class:inverter,8065.16
design__instance__count__class:sequential_cell,3178
design__instance__area__class:sequential_cell,209453
design__instance__count__class:multi_input_combinational_cell,16158
design__instance__area__class:multi_input_combinational_cell,296003
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,550
design__instance__area__class:endcap_cell,2414.72
design__instance__count__class:tap_cell,7619
design__instance__area__class:tap_cell,33450.5
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,22
design__io__hpwl,21115775
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,36496.9
design__instance__displacement__mean,1.0995
design__instance__displacement__max,42
route__wirelength__estimated,1.08935E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4215
design__instance__area__class:timing_repair_buffer,167426
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,480
design__instance__area__class:clock_buffer,24406.2
design__instance__count__class:clock_inverter,58
design__instance__area__class:clock_inverter,935.155
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1544
global_route__vias,147
global_route__wirelength,1763218
flow__warnings__count:GRT-0041,1001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,11
design__instance__count__class:antenna_cell,15
design__instance__area__class:antenna_cell,65.856
route__net,24855
route__net__special,2
route__drc_errors__iter:0,183
route__wirelength__iter:0,1237311
route__drc_errors__iter:1,23
route__wirelength__iter:1,1237256
route__drc_errors__iter:2,16
route__wirelength__iter:2,1237254
route__drc_errors__iter:3,0
route__wirelength__iter:3,1237197
route__drc_errors__iter:4,4
route__wirelength__iter:4,1237137
route__drc_errors__iter:5,2
route__wirelength__iter:5,1237123
route__drc_errors__iter:6,2
route__wirelength__iter:6,1237123
route__drc_errors__iter:7,0
route__wirelength__iter:7,1237136
