Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,393
design__inferred_latch__count,0
design__instance__count,69914
design__instance__area,1.1639E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,11
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,162
design__max_cap_violation__count__corner:nom_tt_025C_5v00,5
power__internal__total,0.016120364889502525
power__switching__total,0.006024367641657591
power__leakage__total,0.000007796787031111307
power__total,0.022152530029416084
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.36556844697224966
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.3659385953391282
timing__hold__ws__corner:nom_tt_025C_5v00,0.7130276570996156
timing__setup__ws__corner:nom_tt_025C_5v00,109.14354529082793
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.713028
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,127.789581
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,1896
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,162
design__max_cap_violation__count__corner:nom_ss_125C_4v50,5
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.4393782961828644
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.4502080780051601
timing__hold__ws__corner:nom_ss_125C_4v50,1.533615056134543
timing__setup__ws__corner:nom_ss_125C_4v50,66.0327988756549
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.533615
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,66.032799
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,162
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,5
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.33372558439088557
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.3372766328355796
timing__hold__ws__corner:nom_ff_n40C_5v50,0.3413828205638623
timing__setup__ws__corner:nom_ff_n40C_5v50,113.26695280075415
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.341383
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,187.980820
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,3163
design__max_fanout_violation__count,162
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.3201443367688446
clock__skew__worst_setup,0.32566514295953713
timing__hold__ws,0.33020898061650467
timing__setup__ws,62.5055793704569
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.337891
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,62.505581
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1100.0 1100.0
design__core__bbox,10.08 11.76 1089.76 1089.76
design__io,24
design__die__area,1.21E+6
design__core__area,1.1639E+6
design__instance__count__stdcell,33198
design__instance__area__stdcell,742656
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.638078
design__instance__utilization__stdcell,0.638078
design__rows,275
design__rows:GF018hv5v_mcu_sc7,275
design__sites,530200
design__sites:GF018hv5v_mcu_sc7,530200
design__instance__count__class:tie_cell,4
design__instance__area__class:tie_cell,35.1232
design__instance__count__class:inverter,918
design__instance__area__class:inverter,8060.77
design__instance__count__class:sequential_cell,3178
design__instance__area__class:sequential_cell,209453
design__instance__count__class:multi_input_combinational_cell,16158
design__instance__area__class:multi_input_combinational_cell,295950
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,550
design__instance__area__class:endcap_cell,2414.72
design__instance__count__class:tap_cell,7619
design__instance__area__class:tap_cell,33450.5
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,22
design__io__hpwl,21115775
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,36582
design__instance__displacement__mean,1.102
design__instance__displacement__max,42
route__wirelength__estimated,1.08969E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4221
design__instance__area__class:timing_repair_buffer,167898
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,18
design__instance__count__class:clock_buffer,480
design__instance__area__class:clock_buffer,24406.2
design__instance__count__class:clock_inverter,58
design__instance__area__class:clock_inverter,935.155
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1544
global_route__vias,95
global_route__wirelength,1764058
flow__warnings__count:GRT-0041,1001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,12
design__instance__area__class:antenna_cell,52.6848
route__net,24861
route__net__special,2
route__drc_errors__iter:0,96
route__wirelength__iter:0,1237315
route__drc_errors__iter:1,14
route__wirelength__iter:1,1237255
route__drc_errors__iter:2,12
route__wirelength__iter:2,1237251
route__drc_errors__iter:3,0
route__wirelength__iter:3,1237211
route__drc_errors__iter:4,8
route__wirelength__iter:4,1237139
route__drc_errors__iter:5,8
route__wirelength__iter:5,1237139
route__drc_errors__iter:6,0
route__wirelength__iter:6,1237184
route__drc_errors,0
route__wirelength,1237211
route__vias,167367
route__vias__singlecut,167367
route__vias__multicut,0
